
60358,all,1.0
151326,all,108.0
16043,all,15.0
55303,all,435.0
118792,all,10.0
116749,all,18.0
32782,all,41.0
65551,all,29.0
58444,all,8.0
79192,all,63.0
20499,all,12.0
300,all,20.0
55318,all,6.0
65560,all,5.0
58372,all,4.0
96283,all,20.0
116764,all,4.0
62127,all,55.0
47134,all,5.0
26655,all,68.0
142683,all,20.0
8230,all,162.0
24615,all,75.0
73768,all,70.0
111964,all,16.0
65578,all,346.0
26667,all,5.0
47151,all,553.0
16434,all,9.0
10931,all,199.0
26679,all,3.0
88120,all,18.0
14393,all,16.0
161850,all,7.0
63547,all,107.0
155708,all,52.0
51262,all,24.0
14399,all,5.0
104800,all,47.0
15257,all,10.0
92098,all,63.0
12940,all,177.0
116809,all,16.0
41655,all,2066.0
102476,all,37.0
102478,all,11.0
165969,all,6.0
141395,all,359.0
10325,all,27.0
104536,all,2.0
112729,all,4.0
8207,all,8.0
165981,all,71.0
149598,all,40.0
75871,all,281.0
61540,all,6.0
32869,all,49.0
47206,all,100.0
24679,all,480.0
127081,all,7.0
86122,all,11.0
101615,all,496.0
51316,all,5.0
61558,all,1.0
86377,all,55.0
61561,all,436.0
114811,all,20.0
79996,all,13.0
47230,all,114.0
5141,all,207.0
45190,all,131.0
14471,all,12.0
86153,all,45.0
106634,all,143.0
16235,all,11.0
129166,all,1.0
87064,all,2.0
51346,all,184.0
57493,all,5.0
110617,all,0.0
157848,all,63.0
92314,all,30.0
59548,all,1.0
94366,all,7.0
167289,all,12.0
12485,all,14.0
63652,all,14.0
45223,all,10.0
92188,all,43.0
28111,all,97.0
96025,all,0.0
75949,all,4.0
3279,all,290.0
65713,all,144.0
166068,all,3.0
156702,all,2.0
63670,all,2.0
92873,all,117.0
121016,all,897.0
82105,all,13.0
127162,all,0.0
151739,all,538.0
80062,all,64.0
152949,all,2.0
30915,all,6.0
37060,all,209.0
197,all,113.0
53446,all,12.0
8393,all,38.0
86218,all,41.0
59596,all,87.0
94414,all,18.0
30927,all,41.0
149712,all,5.0
131448,all,14.0
45268,all,10.0
147669,all,48.0
162006,all,20.0
28887,all,49.0
106714,all,12.0
30940,all,192.0
39133,all,25.0
143583,all,47.0
151776,all,1740.0
2274,all,9.0
162171,all,3.0
63718,all,8.0
47335,all,29.0
129257,all,117.0
8426,all,74.0
47340,all,28.0
